SEXE	AGE	CATEGORIE	NB_ETUDES	EXPERIENCE	ANCIENNETE	SAL_EMBAUCHE	SAL_ACTUEL	VILLE	SATIS_EMPLOI	SATIS_CHEF	SATIS_SALAIRE	SATIS_COLLEGUES	SATIS_CE
0	28	1	15	3	79	17250	40200	LILLE    	oui	non	non	oui	oui
0	36	1	16	38	98	18750	40200	MARSEILLE	oui	oui	non	non	oui
0	41	1	17	36	92	19500	40200	LYON     	oui	non	non	non	oui
0	29	4	16	168	81	21000	40200	PARIS    	non	non	non	non	oui
0	30	1	15	20	66	16500	40350	LILLE    	non	oui	non	non	oui
0	28	1	16	80	78	19500	40350	MARSEILLE	oui	oui	non	oui	oui
0	30	1	12	24	97	15000	40800	MARSEILLE	non	non	oui	oui	oui
1	27	1	12	4	81	18000	40800	LYON     	non	non	non	non	oui
0	32	1	15	27	93	20250	41100	PARIS    	oui	non	non	non	oui
1	53	5	16	285	89	24990	41550	LILLE    	oui	oui	non	non	oui
0	32	2	15	68	96	15000	42000	BORDEAUX 	oui	oui	non	non	oui
0	32	1	12	126	97	14250	42300	BORDEAUX 	oui	oui	non	oui	oui
0	40	4	16	103	87	26250	42300	NICE     	non	oui	non	non	oui
1	28	4	16	20	79	17490	43000	MARSEILLE	non	non	non	oui	oui
0	28	2	15	12	76	15750	43410	NICE     	non	oui	non	non	non
1	28	4	16	11	68	19500	43500	PARIS    	oui	oui	oui	non	oui
0	29	4	16	19	65	19500	43650	LILLE    	non	non	non	non	oui
0	43	1	18	182	88	23250	43950	LILLE    	non	oui	non	non	oui
0	30	1	16	22	77	21240	44875	TOULOUSE 	non	oui	non	oui	oui
0	39	1	15	138	98	21000	45000	PARIS    	oui	oui	non	oui	oui
0	30	1	15	40	94	15000	45150	BORDEAUX 	oui	oui	non	oui	oui
0	30	4	16	36	93	21480	45250	LYON     	oui	oui	oui	oui	oui
0	32	4	16	60	86	23250	45625	PARIS    	oui	oui	non	oui	non
0	32	1	15	35	97	14250	46000	LYON     	non	non	non	oui	oui
0	30	4	16	48	93	21240	46000	TOULOUSE 	oui	oui	non	oui	oui
1	32	4	16	19	86	17250	46875	BORDEAUX 	non	oui	non	non	oui
0	30	5	16	45	74	21240	47250	MARSEILLE	non	oui	non	oui	oui
0	32	5	19	27	64	33000	47550	PARIS    	oui	oui	non	non	oui
0	31	4	16	22	93	21750	48000	LILLE    	non	oui	non	oui	oui
0	33	4	16	61	76	21990	48750	BORDEAUX 	non	oui	non	non	oui
0	32	1	15	86	66	20550	49000	LYON     	non	oui	non	non	non
0	48	5	16	264	77	32490	50000	BORDEAUX 	non	oui	oui	non	oui
0	33	1	15	44	81	19500	50550	MARSEILLE	non	oui	non	non	non
1	33	1	16	22	93	18000	51000	PARIS    	oui	oui	non	non	non
0	35	5	16	69	83	27480	51250	LYON     	oui	oui	non	non	oui
0	39	5	18	149	78	36240	51450	PARIS    	non	non	non	non	oui
0	46	5	19	221	80	27480	52125	MARSEILLE	non	oui	non	non	oui
0	31	1	16	20	86	19500	52650	LILLE    	non	oui	non	non	oui
0	31	4	16	48	93	21000	53125	BORDEAUX 	non	oui	non	oui	oui
1	30	1	16	11	93	18000	54000	PARIS    	non	oui	non	oui	oui
1	33	4	16	81	81	18750	54375	PARIS    	oui	non	non	non	oui
0	34	4	16	68	90	27480	54875	LILLE    	non	oui	non	non	oui
0	31	5	15	49	83	25500	54900	BORDEAUX 	non	oui	non	non	oui
0	32	4	17	32	93	26250	55000	LYON     	non	non	non	non	oui
0	41	5	18	129	75	32490	55000	LYON     	non	oui	non	non	oui
0	40	5	19	125	65	34980	55000	LILLE    	oui	oui	non	oui	oui
0	31	4	19	62	81	33750	55500	PARIS    	oui	oui	oui	oui	oui
1	29	4	16	36	64	19980	55750	LYON     	oui	non	non	oui	non
0	29	4	16	12	79	21000	56500	LILLE    	non	oui	non	oui	oui
0	33	5	16	34	93	25000	56550	LILLE    	non	oui	non	non	oui
1	32	5	16	15	73	30000	56750	LILLE    	non	oui	non	non	oui
0	41	5	15	144	98	27000	57000	MARSEILLE	non	oui	non	oui	oui
1	28	6	16	11	71	18000	58125	MARSEILLE	oui	non	non	non	oui
0	30	4	16	13	84	21750	58750	MARSEILLE	non	oui	non	non	oui
0	36	5	20	6	89	30000	59375	PARIS    	oui	oui	non	non	oui
0	48	5	12	272	74	33750	59400	PARIS	non	oui	non	non	oui
0	34	4	16	17	94	23730	60000	PARIS    	non	non	non	non	oui
0	29	6	17	59	68	32490	60000	BORDEAUX 	non	oui	non	non	non
0	39	4	19	96	96	27480	60375	MARSEILLE	oui	oui	non	oui	non
0	34	4	16	44	91	22500	60625	LILLE    	non	oui	non	oui	non
0	30	5	19	9	68	33000	61250	PARIS    	oui	non	non	non	oui
0	28	5	19	199	65	28740	61875	TOULOUSE 	oui	oui	non	oui	oui
0	43	5	19	26	80	36750	61875	BORDEAUX 	oui	non	non	non	oui
0	35	5	18	74	75	34980	62500	BORDEAUX 	non	oui	non	non	non
0	30	4	17	26	78	30750	65000	NICE     	non	oui	non	non	non
0	29	4	19	264	69	31980	65000	LILLE    	non	oui	non	non	oui
0	57	5	21	74	88	37500	65000	LYON     	oui	oui	non	oui	oui
0	42	5	16	150	86	47490	66000	TOULOUSE 	oui	oui	non	oui	oui
0	38	6	19	99	67	34980	66250	LILLE    	non	oui	non	non	oui
0	50	7	16	258	83	52500	66750	PARIS    	oui	oui	non	non	oui
0	29	1	18	30	79	31980	66875	BORDEAUX 	oui	oui	non	non	oui
0	35	6	19	81	69	32490	66875	LILLE    	oui	oui	non	non	oui
0	30	5	17	9	83	34980	67500	LYON     	non	oui	non	non	oui
0	30	4	19	29	78	32010	68125	BORDEAUX 	non	non	non	non	oui
0	30	4	18	35	80	32490	68125	LILLE    	oui	oui	non	non	oui
0	32	4	19	38	92	27480	68750	MARSEILLE	oui	non	non	non	oui
0	34	4	17	8	89	27510	68750	LILLE    	non	oui	non	non	oui
0	43	7	20	134	85	42480	69250	NICE     	oui	oui	non	non	oui
0	28	4	16	19	65	21750	70000	BORDEAUX 	non	oui	non	non	non
0	37	5	19	75	67	35040	70000	MARSEILLE	oui	oui	non	non	oui
0	42	5	19	156	83	43500	70875	NICE     	oui	non	non	non	oui
0	31	4	19	10	92	28740	72500	MARSEILLE	non	non	non	non	oui
0	33	4	19	45	78	33000	73500	PARIS    	oui	oui	oui	non	oui
0	40	4	18	56	94	26250	73750	LYON     	oui	oui	non	non	oui
0	31	4	19	54	81	31500	75000	LILLE    	oui	non	non	non	oui
0	35	6	19	13	65	42510	75000	PARIS    	oui	oui	non	non	oui
0	32	4	19	7	93	30000	78125	LYON     	oui	oui	non	non	oui
0	30	4	18	47	91	27480	78250	PARIS    	non	non	oui	non	non
0	32	4	17	67	70	28740	78500	BORDEAUX 	non	non	non	non	oui
0	30	2	15	34	82	15750	80000	PARIS    	oui	oui	non	oui	oui
0	32	4	17	18	96	30000	81250	TOULOUSE 	non	non	non	oui	oui
0	46	7	17	207	93	34980	82500	TOULOUSE 	non	non	oui	oui	oui
0	30	4	16	12	79	21750	83750	LYON     	non	non	non	non	oui
0	34	7	18	50	66	45000	86250	MARSEILLE	oui	oui	non	oui	oui
0	29	5	19	18	65	31250	90625	BORDEAUX 	oui	oui	oui	oui	oui
0	32	4	19	23	91	29490	91250	NICE     	non	oui	non	non	oui
0	45	5	19	175	96	39990	92000	PARIS    	non	non	non	non	oui
0	34	5	19	68	91	35010	97000	LILLE    	non	non	non	oui	oui
0	35	5	16	128	66	44100	100000	NICE     	non	non	non	non	oui
0	40	5	16	150	73	60000	103500	LILLE    	non	non	non	oui	oui
0	37	5	16	70	97	27510	103750	LYON     	non	non	non	non	oui
0	40	7	19	120	96	45000	110625	LYON     	non	non	non	non	oui
0	50	7	19	199	96	79980	135000	BORDEAUX 	oui	oui	oui	non	oui
